trial,choice,rt,valueLeft,valueRight,fixItem,fixTime
137,-1,2150,3,0,0,260
137,-1,2150,3,0,2,270
137,-1,2150,3,0,0,170
137,-1,2150,3,0,1,490
137,-1,2150,3,0,0,80
137,-1,2150,3,0,2,450
137,-1,2150,3,0,0,70
137,-1,2150,3,0,1,360
138,-1,900,3,2,0,310
138,-1,900,3,2,2,190
138,-1,900,3,2,0,80
138,-1,900,3,2,1,320
139,1,2070,3,4,0,240
139,1,2070,3,4,1,190
139,1,2070,3,4,0,70
139,1,2070,3,4,2,630
139,1,2070,3,4,0,80
139,1,2070,3,4,1,420
139,1,2070,3,4,0,90
139,1,2070,3,4,2,350
140,1,2860,3,6,0,230
140,1,2860,3,6,1,610
140,1,2860,3,6,0,70
140,1,2860,3,6,2,590
140,1,2860,3,6,0,80
140,1,2860,3,6,1,940
140,1,2860,3,6,0,60
140,1,2860,3,6,2,280
141,-1,1650,3,0,0,290
141,-1,1650,3,0,2,190
141,-1,1650,3,0,0,70
141,-1,1650,3,0,1,300
141,-1,1650,3,0,0,70
141,-1,1650,3,0,2,730
142,-1,1210,3,4,0,280
142,-1,1210,3,4,2,310
142,-1,1210,3,4,0,90
142,-1,1210,3,4,1,530
143,-1,2250,3,4,0,200
143,-1,2250,3,4,1,580
143,-1,2250,3,4,0,90
143,-1,2250,3,4,2,430
143,-1,2250,3,4,0,70
143,-1,2250,3,4,1,880
144,-1,740,3,1,0,210
144,-1,740,3,1,2,340
144,-1,740,3,1,0,70
144,-1,740,3,1,1,120
145,1,1720,3,1,0,240
145,1,1720,3,1,2,190
145,1,1720,3,1,0,90
145,1,1720,3,1,1,410
145,1,1720,3,1,0,60
145,1,1720,3,1,2,730
146,-1,1240,3,2,0,310
146,-1,1240,3,2,2,210
146,-1,1240,3,2,0,80
146,-1,1240,3,2,1,360
146,-1,1240,3,2,0,70
146,-1,1240,3,2,2,210
147,1,420,3,3,0,200
147,1,420,3,3,2,180
147,1,420,3,3,0,40
148,-1,1180,3,0,0,220
148,-1,1180,3,0,1,280
148,-1,1180,3,0,0,120
148,-1,1180,3,0,2,400
148,-1,1180,3,0,0,60
148,-1,1180,3,0,1,100
149,-1,1360,3,0,0,340
149,-1,1360,3,0,1,230
149,-1,1360,3,0,0,70
149,-1,1360,3,0,2,720
150,1,570,3,6,0,210
150,1,570,3,6,2,360
151,1,340,3,4,0,280
151,1,340,3,4,2,60
152,-1,950,3,2,0,200
152,-1,950,3,2,2,400
152,-1,950,3,2,0,70
152,-1,950,3,2,1,280
153,1,1910,3,5,0,200
153,1,1910,3,5,1,180
153,1,1910,3,5,0,70
153,1,1910,3,5,2,210
153,1,1910,3,5,0,100
153,1,1910,3,5,1,350
153,1,1910,3,5,0,80
153,1,1910,3,5,2,720
154,-1,720,3,2,0,240
154,-1,720,3,2,1,290
154,-1,720,3,2,0,70
154,-1,720,3,2,2,120
155,-1,1350,3,1,0,210
155,-1,1350,3,1,1,250
155,-1,1350,3,1,0,60
155,-1,1350,3,1,2,460
155,-1,1350,3,1,0,50
155,-1,1350,3,1,1,320
156,-1,4240,3,1,0,260
156,-1,4240,3,1,1,210
156,-1,4240,3,1,0,90
156,-1,4240,3,1,2,1130
156,-1,4240,3,1,0,90
156,-1,4240,3,1,1,600
156,-1,4240,3,1,0,80
156,-1,4240,3,1,2,1600
156,-1,4240,3,1,0,70
156,-1,4240,3,1,1,110
157,1,1560,3,2,0,260
157,1,1560,3,2,1,220
157,1,1560,3,2,0,70
157,1,1560,3,2,2,980
157,1,1560,3,2,0,30
158,-1,1040,3,2,0,240
158,-1,1040,3,2,2,550
158,-1,1040,3,2,0,70
158,-1,1040,3,2,1,180
159,1,930,3,6,0,250
159,1,930,3,6,1,190
159,1,930,3,6,0,70
159,1,930,3,6,2,370
159,1,930,3,6,0,50
160,1,2140,3,4,0,210
160,1,2140,3,4,2,300
160,1,2140,3,4,0,90
160,1,2140,3,4,1,890
160,1,2140,3,4,0,80
160,1,2140,3,4,2,570
161,1,1190,3,6,0,260
161,1,1190,3,6,1,380
161,1,1190,3,6,0,80
161,1,1190,3,6,2,370
161,1,1190,3,6,0,70
161,1,1190,3,6,1,30
162,-1,610,3,2,0,260
162,-1,610,3,2,1,350
163,-1,1170,3,3,0,230
163,-1,1170,3,3,2,650
163,-1,1170,3,3,0,70
163,-1,1170,3,3,1,220
